0001AAA 9493BWP 2016 12 5 19 25 11 2016 12 28 19 25 11
0001AAA 3234GUI 2016 12 6 0 22 12 2016 12 6 0 30 0
0001AAA 3234GUI 2016 12 6 1 12 44 2016 12 6 2 30 0
0001AAA 3234GUI 2016 12 8 23 1 29 2016 12 9 1 12 0
0001AAA 4561AAA 2016 12 8 23 3 41 2017 1 1 1 1 0
1111AAA 1000ABC 2016 12 5 0 0 0 2016 12 12 0 0 0
2222BBB 2000DEF 2016 12 6 0 0 0 2016 12 13 0 11 0
3333CCC 3000GHI 2016 12 1 0 0 0 2016 12 12 5 10 0
4444DDD 4000JKL 2016 12 13 0 0 0 2016 12 18 5 3 0
5555EEE 5000MNO 2016 12 12 0 0 0 2016 12 17 6 0 0
2222BBB 6000PQR 2016 12 16 0 0 0 2016 12 22 1 7 0
7777GGG 7000STU 2016 12 17 0 0 0 2016 12 23 4 7 0
8888HHH 1000ABC 2016 12 16 0 0 0 2016 12 24 1 5 0
